Id,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,Fireplaces,LotArea,Neighborhood,ExterQual,KitchenQual,CentralAir,SalePrice
322,8,2468,3,1136,2,2004,2004,1,12099,NridgHt,Gd,Gd,Y,354000
323,7,2730,2,1502,2,1986,1987,1,10380,SawyerW,Gd,Gd,Y,301000
324,3,1163,1,1162,1,1955,2005,0,5820,OldTown,TA,TA,Y,126175
325,7,2978,2,710,2,1967,2007,1,11275,NAmes,Gd,Gd,Y,242000
326,5,803,2,720,1,1941,1950,0,5000,IDOTRR,TA,TA,N,87000
327,8,1719,2,1719,1,1993,1993,2,10846,Veenker,Gd,Gd,Y,324000
328,6,1383,1,1383,1,1960,1960,0,11600,NAmes,TA,TA,Y,145250
329,6,2134,2,844,2,1916,1994,0,11888,BrkSide,TA,Gd,N,214500
330,5,1192,1,596,1,1920,1950,0,6402,IDOTRR,TA,TA,N,78000
331,5,1728,1,1728,2,1964,1964,0,10624,NAmes,TA,TA,Y,119000
332,5,1056,1,1056,1,1958,1992,0,8176,NAmes,TA,TA,Y,139000
333,8,1629,3,3206,2,2003,2004,1,10655,NridgHt,Gd,Gd,Y,284000
334,7,1358,2,1358,2,2004,2004,1,8198,NridgHt,Gd,Gd,Y,207000
335,6,1638,2,943,2,1998,1998,2,9042,Gilbert,TA,TA,Y,192000
336,5,1786,2,1499,2,1965,1965,2,164660,Timber,TA,TA,Y,228950
337,9,1922,3,1922,2,2005,2006,1,14157,StoneBr,Gd,Gd,Y,377426
338,7,1536,2,1536,2,2002,2003,0,9135,CollgCr,Gd,Gd,Y,214000
339,7,1621,2,1208,2,1984,1998,0,14145,NWAmes,Gd,Gd,Y,202500
340,6,1215,1,1215,1,1958,1998,0,12400,NAmes,TA,TA,Y,155000
341,8,1908,2,967,2,2002,2002,0,14191,Timber,Gd,Gd,Y,202900
342,4,841,1,721,1,1950,1950,0,8400,SawyerW,Fa,TA,Y,82000
343,3,1040,2,0,2,1949,1950,0,8544,NAmes,TA,TA,N,87500
344,9,1684,2,1684,2,2005,2005,1,8849,NridgHt,Ex,Ex,Y,266000
345,5,1112,1,536,1,1976,1976,0,2592,MeadowV,TA,TA,Y,85000
346,6,1577,1,972,1,1939,1950,1,6435,BrkSide,TA,Fa,Y,140200
347,6,958,1,958,1,1960,1998,0,12772,NAmes,TA,TA,Y,151500
348,6,1478,2,1478,2,1960,1960,2,17600,NAmes,TA,TA,Y,157500
349,7,1626,2,764,2,2003,2004,0,2448,NridgHt,Gd,Gd,Y,154000
350,9,2728,3,1848,2,2005,2006,2,20431,NridgHt,Ex,Ex,Y,437154
351,9,1869,2,1869,2,2007,2007,1,7820,NridgHt,Ex,Ex,Y,318061
352,7,1453,2,1453,1,1986,1986,1,5271,ClearCr,TA,Gd,Y,190000
353,5,1111,1,616,1,1941,1950,0,9084,Edwards,TA,TA,N,95000
354,6,720,2,624,1,1928,2003,0,8520,OldTown,TA,TA,Y,105900
355,6,1595,1,940,1,1940,2000,2,8400,SWISU,TA,TA,Y,140000
356,6,1200,2,1200,2,1995,1995,0,11249,CollgCr,Gd,Gd,Y,177500
357,6,1167,2,1158,2,1992,1992,0,9248,Gilbert,TA,Gd,Y,173000
358,5,1142,2,1142,1,1976,1976,1,4224,MeadowV,TA,TA,Y,134000
359,5,1352,1,1062,1,1958,1958,0,6930,ClearCr,TA,Gd,Y,130000
360,8,1924,2,1086,2,1998,1998,1,12011,NoRidge,Gd,Gd,Y,280000
361,6,912,2,888,1,1978,1978,1,7540,Mitchel,TA,TA,Y,156000
362,5,1505,1,883,1,1940,1982,0,9144,BrkSide,TA,TA,Y,145000
363,7,1922,2,0,3,2003,2003,1,7301,Edwards,Gd,Gd,Y,198500
364,6,987,1,483,1,1972,2007,0,1680,BrDale,TA,Gd,Y,118000
365,6,1574,2,796,2,1976,1976,1,18800,NWAmes,TA,TA,Y,190000
366,5,1344,1,672,1,1920,1997,0,10690,IDOTRR,TA,TA,Y,147000
367,6,1394,2,1394,1,1963,1963,2,9500,NAmes,TA,TA,Y,159000
368,6,1431,1,1099,1,1962,1962,1,9150,NAmes,TA,TA,Y,165000
369,5,1268,1,1268,1,1954,1954,1,7800,NAmes,TA,TA,Y,132000
370,5,1287,2,1063,1,1959,2006,1,9830,NAmes,TA,Gd,Y,162000
371,6,1664,2,953,2,2000,2000,1,8121,Gilbert,TA,TA,Y,172400
372,4,1588,2,0,2,1959,1959,1,17120,ClearCr,TA,TA,Y,134432
373,6,752,1,744,1,1984,1984,0,7175,SawyerW,TA,TA,Y,125000
374,5,1319,1,608,1,1953,1953,0,10634,NAmes,TA,TA,Y,123000
375,7,1928,2,847,2,2003,2004,1,8200,CollgCr,Gd,Gd,Y,219500
376,1,904,0,683,0,1922,1950,0,10020,Edwards,Fa,Fa,N,61000
377,5,914,2,870,1,1996,1996,0,8846,CollgCr,Gd,TA,Y,148000
378,8,2466,2,1580,3,2004,2005,1,11143,Somerst,Gd,Gd,Y,340000
379,9,1856,3,1856,1,2010,2010,1,11394,StoneBr,Gd,Ex,Y,394432
380,6,1800,2,982,2,2000,2000,1,8123,Gilbert,TA,TA,Y,179000
381,5,1691,1,1026,2,1924,1950,1,5000,SWISU,TA,Gd,Y,127000
382,7,1301,2,1293,2,2006,2006,1,7200,Somerst,Gd,Gd,Y,187750
383,7,1797,2,939,2,2006,2006,0,9245,CollgCr,Gd,Gd,Y,213500
384,6,784,2,784,1,1928,1950,0,9000,SawyerW,TA,TA,N,76000
385,6,1953,2,1580,2,1992,1992,2,53107,ClearCr,Gd,Gd,Y,240000
386,8,1269,2,1256,2,2004,2005,1,3182,Blmngtn,Gd,Gd,Y,192000
387,5,1184,0,658,1,1910,1996,0,8410,Edwards,TA,TA,Y,81000
388,6,1125,1,1041,1,1976,1976,1,7200,Edwards,TA,TA,Y,125000
389,7,1479,2,1468,2,1999,2000,0,9382,CollgCr,Gd,Gd,Y,191000
390,10,2332,3,1682,2,2007,2008,1,12474,NridgHt,Ex,Ex,Y,426000
391,5,1367,1,861,1,1900,1950,0,8405,Edwards,TA,TA,Y,119000
392,6,1961,2,804,2,2001,2002,1,12209,Mitchel,TA,Gd,Y,215000
393,5,882,1,0,1,1959,1959,0,8339,NAmes,TA,TA,Y,106500
394,4,788,0,788,1,1941,1950,2,7446,BrkSide,TA,TA,Y,100000
395,5,1034,1,735,1,1940,1950,0,10134,OldTown,TA,TA,Y,109000
396,5,1144,1,1144,1,1956,1956,0,9571,Edwards,TA,TA,Y,129000
397,5,894,2,894,1,1972,1972,0,7200,CollgCr,TA,TA,Y,123000
398,5,1812,1,864,2,1962,1962,1,7590,NAmes,TA,TA,Y,169500
399,5,1077,1,961,1,1920,1950,0,8967,IDOTRR,TA,TA,Y,67000
400,7,1550,2,1092,2,2006,2007,0,8125,Somerst,Gd,Gd,Y,241000
401,8,1288,2,1260,1,1996,1996,2,14963,Veenker,Gd,Ex,Y,245500
402,7,1310,2,1310,2,2005,2005,1,8767,CollgCr,Gd,Gd,Y,164990
403,5,672,1,672,1,1940,1997,0,10200,Sawyer,TA,TA,Y,108000
404,8,2263,2,1141,2,1998,1998,1,12090,NoRidge,Gd,Gd,Y,258000
405,6,1572,2,806,2,1995,1996,1,10364,Gilbert,TA,TA,Y,168000
406,4,1620,2,1281,2,1976,1993,1,9991,Sawyer,TA,TA,Y,150000
407,6,1639,1,1064,1,1936,1950,0,10480,SWISU,TA,TA,Y,115000
408,6,1680,1,840,2,1915,1976,0,15576,Crawfor,TA,TA,Y,177000
409,7,2172,3,1063,2,2006,2006,1,14154,NridgHt,Gd,Gd,Y,280000
410,8,2078,3,1034,2,2007,2008,1,10800,Somerst,Gd,Ex,Y,339750
411,5,1276,1,1276,1,1958,1958,0,9571,Edwards,TA,TA,Y,60000
412,5,1056,2,1056,1,1955,1955,0,34650,Gilbert,TA,TA,N,145000
413,7,1478,2,1470,2,2009,2009,1,4403,Somerst,Ex,Gd,Y,222000
414,5,1028,2,1008,1,1927,1950,1,8960,OldTown,TA,TA,Y,115000
415,7,2097,3,1080,2,1993,1993,1,11228,SawyerW,Gd,Gd,Y,228000
416,7,1340,2,1340,2,2007,2007,0,8899,Gilbert,Gd,Gd,Y,181134
417,6,1400,2,672,1,1978,1978,1,7844,Sawyer,TA,TA,Y,149500
418,6,2624,3,1370,2,1918,1950,1,22420,Crawfor,TA,TA,N,239000
419,5,1134,1,756,1,1940,1950,0,8160,Edwards,TA,TA,N,126000
420,5,1056,1,1056,1,1968,1968,1,8450,NAmes,TA,TA,Y,142000
421,7,1344,4,1344,2,1997,1998,0,7060,Mitchel,TA,TA,Y,206300
422,6,1602,2,1602,2,1977,2000,1,16635,NWAmes,Gd,Gd,Y,215000
423,5,988,2,988,1,1954,1954,0,21750,Mitchel,TA,TA,Y,113000
424,8,2630,3,1470,2,1998,1998,1,9200,NoRidge,Gd,Gd,Y,315000
425,6,1196,1,1196,1,1956,1956,1,9000,NAmes,TA,TA,Y,139000
426,7,1389,1,651,1,1946,1992,2,3378,OldTown,TA,TA,Y,135000
427,7,1644,2,1518,2,1989,1989,1,12800,SawyerW,Gd,Gd,Y,275000
428,4,907,1,907,1,1957,1957,0,8593,NAmes,TA,TA,Y,109008
429,7,1208,2,1208,2,2007,2007,0,6762,CollgCr,Gd,Gd,Y,195400
430,6,1412,2,1392,2,1988,1988,1,11457,Timber,TA,Gd,Y,175000
431,6,987,1,483,1,1971,1971,0,1680,BrDale,TA,TA,Y,85400
432,6,1198,0,901,1,1920,1998,0,5586,OldTown,TA,TA,Y,79900
433,5,1365,2,765,1,1971,1971,0,1920,BrDale,TA,TA,Y,122500
434,6,1604,2,926,2,1997,1998,1,10839,Gilbert,TA,TA,Y,181000
435,4,630,0,630,1,1972,1972,0,1890,MeadowV,TA,TA,Y,81000
436,7,1661,2,799,2,1996,1996,1,10667,CollgCr,Gd,Gd,Y,212000
437,6,1118,2,648,1,1920,1950,0,4400,OldTown,TA,TA,Y,116000
438,6,904,1,884,1,1926,2004,0,6000,BrkSide,Gd,TA,Y,119000
439,5,694,1,440,1,1913,2002,1,4280,Crawfor,TA,Gd,N,90350
440,6,1196,2,684,1,1920,2000,0,12354,Edwards,TA,Gd,Y,110000
441,10,2402,3,3094,2,2008,2008,2,15431,NridgHt,Ex,Ex,Y,555000
442,4,1440,0,1440,2,1955,1955,0,12108,Edwards,TA,Fa,N,118000
443,5,1573,2,1078,2,1930,1992,1,6240,BrkSide,TA,TA,Y,162900
444,7,1258,3,1258,2,2006,2007,1,3922,Blmngtn,Gd,Gd,Y,172500
445,7,1908,2,915,2,1994,1995,1,8750,CollgCr,Gd,Gd,Y,210000
446,6,1689,2,1436,1,1956,1956,1,9855,Edwards,TA,TA,Y,127500
447,6,1888,2,1517,2,1966,2002,1,16492,NAmes,Gd,Gd,Y,190000
448,7,1886,2,930,2,1998,1999,1,11214,Gilbert,Gd,Gd,Y,199900
449,6,1376,1,780,2,1937,1950,1,8600,IDOTRR,TA,TA,Y,119500
450,3,1183,1,649,1,1948,2002,0,6000,OldTown,TA,TA,Y,120000
451,6,813,1,813,1,1930,2005,0,5684,OldTown,TA,Gd,Y,110000
452,7,1533,2,1533,2,1975,1975,2,70761,ClearCr,TA,Gd,Y,280000
453,6,1756,2,872,2,1996,1997,0,9303,Timber,Gd,TA,Y,204000
454,8,1590,2,768,2,2008,2008,0,9000,Somerst,Gd,Gd,Y,210000
455,5,1728,2,1728,2,1976,1976,0,9297,Mitchel,TA,TA,Y,188000
456,7,1242,2,1242,1,1973,1973,1,9600,NWAmes,TA,TA,Y,175500
457,5,1344,3,624,1,1916,1950,0,4571,OldTown,TA,TA,N,98000
458,4,1663,2,1364,1,1954,1994,2,53227,ClearCr,TA,Gd,Y,256000
459,8,1666,1,588,1,1925,1996,1,5100,OldTown,TA,Gd,Y,161000
460,5,1203,1,709,1,1950,1950,1,7015,BrkSide,TA,Gd,Y,110000
461,8,1935,2,832,2,2009,2009,0,8004,Somerst,Gd,TA,Y,263435
462,7,1135,2,560,1,1936,2007,0,7200,SWISU,Gd,Gd,Y,155000
463,5,864,1,864,1,1965,1965,1,8281,Sawyer,TA,TA,Y,62383
464,6,1660,1,715,1,1934,1995,1,11988,Crawfor,TA,TA,Y,188700
465,5,1040,0,1040,2,1978,1978,0,8430,CollgCr,TA,TA,Y,124000
466,7,1414,2,1375,2,2004,2004,1,3072,Blmngtn,Gd,Gd,Y,178740
467,7,1277,2,1277,1,1970,1970,1,10628,NAmes,TA,TA,Y,167000
468,5,1644,1,728,1,1942,1995,2,9480,NAmes,TA,Gd,Y,146500
469,8,1634,3,1626,2,2006,2006,1,11428,NridgHt,Gd,Gd,Y,250000
470,6,1710,2,832,2,1993,1993,0,9291,SawyerW,Gd,Gd,Y,187000
471,8,1502,2,1488,1,1985,1985,0,6820,StoneBr,Gd,Gd,Y,212000
472,7,1969,2,808,2,1977,1977,1,11952,NWAmes,TA,TA,Y,190000
473,6,1072,2,547,1,2005,2005,0,3675,Edwards,TA,TA,Y,148000
474,8,1976,3,1976,2,2006,2007,1,14977,NridgHt,Gd,Gd,Y,440000
475,8,1652,2,1494,2,2000,2000,0,5330,StoneBr,Gd,Ex,Y,251000
476,5,970,2,970,1,1963,1963,0,8480,Sawyer,TA,TA,Y,132500
477,6,1493,2,1478,2,1997,1998,1,13125,CollgCr,TA,Gd,Y,208900
478,9,2643,3,2153,2,2006,2006,1,13693,NridgHt,Ex,Ex,Y,380000
479,8,1718,3,1705,2,2007,2008,1,10637,CollgCr,Gd,Gd,Y,297000
480,4,1131,2,907,1,1937,2000,0,5925,OldTown,TA,TA,Y,89471
481,9,1850,3,1833,2,2004,2005,1,16033,NridgHt,Gd,Gd,Y,326000
482,9,1792,3,1792,2,2003,2004,1,11846,NridgHt,Gd,Ex,Y,374000
483,7,1826,1,910,1,1915,2005,1,2500,OldTown,Gd,Ex,Y,155000
484,6,1216,2,1216,2,1998,1998,0,4500,Mitchel,TA,TA,Y,164000
485,5,999,1,999,1,1962,2001,0,7758,Sawyer,TA,Gd,Y,132500
486,5,1113,1,1113,1,1950,2007,1,9600,NAmes,Gd,Gd,Y,147000
487,5,1073,2,1073,1,1965,1965,0,10289,NAmes,TA,TA,Y,156000
488,5,1484,2,1484,2,1971,1971,1,12243,NWAmes,TA,TA,Y,175000
489,5,2414,2,954,2,1900,1970,1,10800,OldTown,TA,TA,N,160000
490,4,630,1,630,1,1970,2002,0,1526,MeadowV,TA,Gd,Y,86000
491,5,1304,1,264,1,1976,1976,1,2665,MeadowV,TA,TA,Y,115000
492,6,1578,1,806,1,1941,1950,2,9490,NAmes,TA,Fa,Y,133000
493,6,1456,2,728,2,2006,2006,0,15578,Gilbert,Gd,TA,Y,172785
494,5,1269,1,1269,1,1960,1960,1,7931,NAmes,TA,TA,Y,155000
495,5,886,1,190,1,1938,1996,0,5784,OldTown,TA,TA,Y,91300
496,4,720,0,720,1,1920,1950,0,7879,IDOTRR,TA,TA,N,34900
497,8,3228,2,3200,3,1992,1993,1,12692,NoRidge,Gd,Gd,Y,430000
498,7,1820,1,1026,2,1925,1950,0,9120,BrkSide,TA,TA,Y,184000
499,5,899,1,864,1,1967,2004,0,7800,Sawyer,TA,Gd,Y,130000
500,5,912,1,912,1,1958,1985,0,7535,NAmes,TA,TA,Y,120000
501,6,1218,1,672,1,1973,1973,0,1890,BrDale,TA,TA,Y,113000
502,7,1768,2,866,2,2005,2005,0,9803,Somerst,Gd,Gd,Y,226700
503,5,1214,2,1214,1,1965,1965,0,9170,Edwards,TA,TA,Y,140000
504,7,1801,2,1501,2,1959,1997,2,15602,Crawfor,TA,TA,Y,289000
505,6,1322,2,855,2,1974,1974,1,2308,NPkVill,TA,TA,Y,147000
506,5,1960,2,960,2,1952,1952,0,7596,OldTown,TA,TA,Y,124500
507,8,1911,2,777,2,1993,1994,1,9554,SawyerW,Gd,Gd,Y,215000
508,6,1218,2,1218,2,2009,2009,0,7862,Somerst,Gd,Gd,Y,208300
509,7,1378,2,689,2,1928,2005,1,9600,OldTown,TA,Gd,Y,161000
510,5,1041,1,1041,1,1959,1959,0,9600,NAmes,TA,TA,Y,124500
511,5,1363,1,1008,1,1951,2000,2,14559,NAmes,Gd,TA,Y,164900
512,7,1368,2,1368,2,2005,2006,1,6792,NridgHt,Gd,Gd,Y,202665
513,5,864,2,864,1,1958,1958,0,9100,NAmes,TA,TA,Y,129900
514,6,1080,2,1084,1,1983,1983,0,9187,Mitchel,TA,TA,Y,134000
515,5,789,1,768,1,1926,1950,0,10594,Crawfor,TA,TA,N,96500
516,10,2020,3,2006,2,2009,2009,1,12220,NridgHt,Ex,Ex,Y,402861
517,6,2119,2,689,2,1972,1972,1,10448,NWAmes,TA,TA,Y,158000
518,7,2344,3,1264,2,1996,1997,1,10208,NoRidge,Gd,Gd,Y,265000
519,6,1796,2,794,2,1998,1998,0,9531,CollgCr,TA,TA,Y,211000
520,7,2080,1,1276,1,1926,2004,2,10918,Crawfor,Gd,Gd,Y,234000
521,4,1294,0,0,2,1900,2000,0,10800,OldTown,TA,TA,N,106250
522,6,1244,1,1244,1,1957,1957,2,11988,NAmes,TA,TA,Y,150000
523,6,1664,2,1004,2,1947,1950,2,5000,BrkSide,TA,TA,Y,159000
524,10,4676,3,3138,3,2007,2008,1,40094,Edwards,Ex,Ex,Y,184750
525,7,2398,3,1379,2,1996,1997,1,11787,NoRidge,Gd,Gd,Y,315750
526,7,1266,2,1257,2,2005,2005,1,7500,Somerst,Gd,Gd,Y,176000
527,5,928,1,928,1,1956,2000,0,13300,NAmes,TA,TA,Y,132000
528,9,2713,3,1452,2,2008,2008,1,14948,NridgHt,Ex,Ex,Y,446261
529,4,605,0,528,1,1920,2002,0,9098,Edwards,TA,TA,Y,86000
530,6,2515,2,2035,3,1957,1975,2,32668,Crawfor,Gd,TA,Y,200624
531,6,1509,2,1461,2,1988,1989,1,10200,Timber,Gd,Gd,Y,175000
532,6,1362,2,611,2,1920,1999,0,6155,BrkSide,TA,TA,Y,128000
533,5,827,1,0,1,1955,2007,1,7200,NAmes,TA,TA,Y,107500
534,1,334,0,0,1,1946,1950,0,5000,BrkSide,Fa,Fa,N,39300
535,8,1414,2,707,2,2004,2004,1,9056,Gilbert,Gd,Gd,Y,178000
536,5,1347,0,1117,1,1910,1991,0,7000,Edwards,TA,TA,Y,107500
537,7,1724,2,880,2,1998,1999,0,8924,CollgCr,TA,Gd,Y,188000
538,4,864,2,864,1,1972,1972,0,12735,NAmes,TA,TA,Y,111250
539,5,1159,1,1051,1,1968,1968,1,11553,Sawyer,TA,TA,Y,158000
540,8,1601,2,1581,2,2001,2002,1,11423,CollgCr,Gd,Gd,Y,272000
541,9,1838,3,1838,2,2006,2006,1,14601,Timber,Ex,Ex,Y,315000
542,8,2285,3,969,2,2000,2000,1,11000,NoRidge,Gd,Gd,Y,248000
543,7,1680,2,1650,2,1998,1999,1,10140,NWAmes,Gd,Gd,Y,213250
544,7,767,1,723,1,1998,1998,0,4058,NAmes,TA,TA,Y,133000
545,7,1496,2,654,2,2006,2006,1,17104,Gilbert,Gd,Gd,Y,179665
546,7,2183,3,1204,2,1988,1988,0,13837,NWAmes,Gd,Gd,Y,229000
547,6,1635,2,1065,1,1923,1950,1,8737,BrkSide,TA,TA,Y,210000
548,5,768,2,768,1,1970,1970,0,7244,Mitchel,TA,TA,Y,129500
549,5,825,2,825,1,1955,1995,0,8235,OldTown,TA,TA,Y,125000
550,7,2094,2,912,2,2003,2004,1,9375,Somerst,Gd,Gd,Y,263000
551,6,1069,2,1069,2,1977,1977,0,4043,NPkVill,TA,TA,Y,140000
552,5,928,1,928,1,1957,1957,0,6000,OldTown,TA,TA,Y,112500
553,8,1717,3,1709,2,2006,2006,1,11146,NridgHt,Gd,Gd,Y,255500
554,4,1126,2,0,2,1949,2003,0,8777,Edwards,TA,Gd,Y,108000
555,7,2046,3,998,2,2003,2004,1,10625,NridgHt,Gd,Gd,Y,284000
556,5,1048,1,993,1,1922,1950,1,6380,BrkSide,TA,TA,Y,113000
557,5,1092,1,1092,1,1957,1957,1,14850,NAmes,TA,TA,Y,141000
558,4,1336,1,637,1,1920,1950,0,11040,IDOTRR,TA,TA,Y,108000
559,7,1446,2,729,2,1996,1997,1,21872,Gilbert,TA,TA,Y,175000
560,7,1557,2,1374,2,2003,2004,1,3196,Blmngtn,Gd,Gd,Y,234000
561,5,1392,2,1392,1,1957,1996,1,11341,Sawyer,TA,TA,Y,121500
562,5,1389,2,1389,1,1974,1975,1,10010,Mitchel,TA,TA,Y,170000
563,5,996,0,996,1,1940,1969,1,13907,Edwards,TA,TA,Y,108000
564,6,1674,2,1163,2,1918,1950,1,21780,Edwards,TA,TA,Y,185000
565,7,2295,2,1095,2,1992,2000,1,13346,NoRidge,Gd,Gd,Y,268000
566,6,1647,1,806,1,1915,1950,0,6858,SWISU,TA,Fa,N,128000
567,9,2504,3,1122,2,2005,2007,1,11198,StoneBr,Gd,Ex,Y,325000
568,7,1535,2,1517,2,2004,2004,0,10171,NridgHt,Gd,Gd,Y,214000
569,8,2132,2,1496,1,1983,2009,1,12327,SawyerW,Gd,Gd,Y,316600
570,5,943,2,943,1,1979,1979,2,7032,NAmes,TA,TA,Y,135960
571,5,1728,2,1728,2,1965,1965,0,13101,NAmes,TA,TA,Y,142600
572,6,864,1,864,1,1959,1959,0,7332,NAmes,TA,Gd,Y,120000
573,7,1692,2,846,2,2009,2009,0,13159,Timber,TA,Gd,Y,224500
574,7,1430,2,384,2,2000,2000,1,9967,Gilbert,TA,TA,Y,170000
575,5,1109,1,372,1,1971,2005,0,10500,NAmes,TA,TA,Y,139000
576,5,1216,1,832,1,1947,1950,0,8480,NAmes,TA,TA,Y,118500
577,7,1477,1,861,2,1928,1950,1,6292,SWISU,TA,TA,Y,145000
578,5,1320,2,1164,1,1966,1966,2,11777,Sawyer,TA,TA,Y,164500
579,7,1392,2,689,2,2007,2007,0,3604,Somerst,Gd,Gd,Y,146000
580,5,1795,1,1050,2,1954,1954,0,12150,OldTown,TA,TA,N,131500
581,6,1429,2,1144,1,1960,1987,2,14585,NAmes,TA,Gd,Y,181900
582,8,2042,3,2042,2,2008,2009,1,12704,NridgHt,Ex,Ex,Y,253293
583,6,816,0,816,1,1990,1990,0,11841,Edwards,TA,TA,Y,118500
584,10,2775,2,1237,3,1893,2000,1,13500,OldTown,Ex,Gd,Y,325000
585,4,1573,1,884,1,1935,1995,0,6120,BrkSide,TA,Gd,Y,133000
586,8,2028,3,1868,2,2005,2006,2,11443,Timber,Gd,Gd,Y,369900
587,6,838,1,816,1,1918,2000,0,10267,BrkSide,TA,Fa,Y,130000
588,5,860,2,840,1,1982,1982,0,8740,Sawyer,TA,TA,Y,137000
589,5,1473,1,1437,1,1968,2003,2,25095,ClearCr,TA,Ex,Y,143000
590,5,935,1,742,1,1930,1960,0,9100,BrkSide,TA,TA,Y,79500
591,7,1582,2,770,2,2004,2004,0,8320,CollgCr,Gd,Gd,Y,185900
592,10,2296,3,1722,2,2008,2008,1,13478,NridgHt,Ex,Ex,Y,451950
593,5,816,2,816,1,1982,2003,0,6600,Mitchel,TA,TA,Y,138000
594,6,848,2,848,1,2003,2003,0,4435,CollgCr,Gd,Gd,Y,140000
595,5,924,1,924,1,1975,1975,0,7990,CollgCr,TA,TA,Y,110000
596,8,1826,3,1814,2,2005,2006,1,11302,StoneBr,Gd,Gd,Y,319000
597,6,1368,1,684,1,1910,1993,0,3600,OldTown,TA,TA,N,114504
598,7,1402,3,1258,0,2006,2007,1,3922,Blmngtn,Gd,Gd,Y,194201
599,5,1647,2,1430,2,1977,1977,1,12984,Crawfor,TA,Gd,Y,217500
600,6,1556,2,716,2,1980,1980,1,1950,Blueste,TA,TA,Y,151000
601,8,1904,2,1058,2,2005,2005,1,10927,NridgHt,Gd,Ex,Y,275000
602,6,1375,1,780,1,1937,1950,1,9000,IDOTRR,TA,Gd,Y,141000
603,8,1915,2,908,2,1992,1992,1,10041,SawyerW,Gd,Gd,Y,220000
604,7,1200,2,600,2,2004,2005,0,3182,Somerst,Gd,Gd,Y,151000
605,7,1494,2,1494,2,2002,2002,1,12803,CollgCr,Gd,Gd,Y,221000
606,7,1986,2,768,2,1965,1990,3,13600,NAmes,TA,TA,Y,205000
607,5,1040,2,1040,1,1996,1996,0,12464,CollgCr,TA,Gd,Y,152000
608,5,2008,1,896,3,1948,2002,0,7800,Edwards,TA,Ex,Y,225000
609,8,3194,2,965,2,1934,1998,2,12168,Crawfor,TA,TA,Y,359100
610,4,1029,1,1029,1,1961,1961,0,7943,Sawyer,TA,TA,Y,118500
611,9,2153,3,1440,2,2000,2000,2,11050,CollgCr,Gd,Ex,Y,313000
612,6,1032,2,1032,2,1978,1978,1,10395,NWAmes,TA,TA,Y,148000
613,8,1872,2,1299,2,2001,2001,1,11885,CollgCr,Gd,Ex,Y,261500
614,5,1120,0,1120,1,2007,2007,0,8402,Mitchel,TA,TA,Y,147000
615,4,630,0,630,1,1972,1972,0,1491,MeadowV,TA,TA,Y,75500
616,6,1054,2,936,1,1963,1963,0,8800,NAmes,TA,Gd,Y,137500
617,6,1509,2,783,2,2002,2003,1,7861,Gilbert,Gd,Gd,Y,183200
618,6,832,2,832,1,1954,1954,0,7227,NAmes,TA,Gd,Y,105500
619,9,1828,3,1822,2,2007,2007,1,11694,NridgHt,Ex,Gd,Y,314813
620,8,2262,3,1482,2,2003,2003,2,12244,Timber,Gd,Gd,Y,305000
621,3,864,0,864,1,1914,1950,0,8248,Edwards,TA,TA,N,67000
622,6,2614,2,1522,2,1974,1997,1,10800,NWAmes,TA,TA,Y,240000
623,5,980,2,980,1,1977,1977,0,7064,Sawyer,TA,TA,Y,135000
624,6,1512,2,756,2,2000,2000,1,2117,Somerst,Gd,Gd,Y,168500
625,6,1790,2,732,1,1972,1972,1,10400,NWAmes,TA,TA,Y,165150
626,6,1116,2,1116,1,1962,1962,0,10000,NAmes,TA,TA,Y,160000
627,5,1422,1,978,1,1960,1978,1,12342,NAmes,TA,TA,Y,139900
628,6,1520,1,1156,1,1955,1972,2,9600,NAmes,TA,TA,Y,153000
629,5,2080,2,1040,1,1969,1969,2,11606,NAmes,TA,Fa,Y,135000
630,6,1350,2,1248,1,1964,1964,0,9020,NAmes,TA,TA,Y,168500
631,5,1750,1,636,1,1880,1991,0,9000,OldTown,TA,Ex,Y,124000
632,8,1554,2,1554,2,2006,2006,1,4590,NridgHt,Gd,Gd,Y,209500
633,7,1411,2,1386,2,1977,1977,1,11900,NWAmes,TA,TA,Y,82500
634,5,1056,1,1056,1,1954,2005,0,9250,NAmes,TA,TA,Y,139400
635,6,1056,2,1056,0,1980,1980,0,6979,OldTown,TA,TA,Y,144000
636,6,3395,0,1440,2,1914,1995,0,10896,SWISU,Fa,Fa,Y,200000
637,2,800,0,264,1,1936,1950,1,6120,BrkSide,Fa,Fa,N,60000
638,5,1387,1,811,2,1954,1954,0,6000,OldTown,TA,Gd,Y,93000
639,5,796,0,796,1,1910,1950,0,8777,Edwards,TA,TA,Y,85000
640,8,1567,3,1520,2,2006,2006,1,3982,Blmngtn,Gd,Ex,Y,264561
641,8,1518,2,1518,1,2003,2004,1,12677,NridgHt,Ex,Ex,Y,274000
642,7,1929,2,1057,2,2001,2001,1,7050,Somerst,Gd,Gd,Y,226000
643,8,2704,2,1952,2,1972,1995,3,13860,NAmes,Gd,Ex,Y,345000
644,5,1620,2,780,2,1969,1969,0,10793,NWAmes,TA,TA,Y,152000
645,9,1766,3,1766,2,2009,2009,1,9187,Somerst,Ex,Ex,Y,370878
646,6,981,2,981,1,1971,1971,0,10530,NAmes,TA,TA,Y,143250
