Id,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,Fireplaces,LotArea,Neighborhood,ExterQual,KitchenQual,CentralAir,SalePrice
279,9,2121,3,732,2121,2121,2,8,2006,2007,1,14450,NridgHt,Ex,Ex,Y,415298
280,7,2022,2,505,1160,1156,2,8,1977,1977,1,10005,ClearCr,TA,TA,Y,192000
281,7,1982,2,575,807,1175,2,7,1989,1989,1,11287,SawyerW,Gd,Gd,Y,228500
282,6,1262,2,572,1262,1262,2,5,2006,2006,0,7200,Somerst,Gd,Gd,Y,185000
283,7,1314,2,626,1314,1314,2,6,2007,2008,1,5063,NridgHt,Gd,Gd,Y,207500
284,8,1468,3,898,1468,1468,2,6,2008,2009,1,9612,Somerst,Gd,Gd,Y,244600
285,6,1575,2,529,1575,1575,2,5,1992,1992,0,8012,SawyerW,Gd,Gd,Y,179200
286,7,1250,2,528,625,625,2,5,2006,2007,0,4251,Somerst,Gd,Gd,Y,164700
287,6,1734,2,440,912,1085,1,7,1962,1981,1,9786,NAmes,TA,Gd,Y,159000
288,4,858,0,0,858,858,1,5,1971,1971,0,8125,NAmes,TA,TA,Y,88000
289,5,900,1,280,882,900,1,5,1967,1967,0,9819,Sawyer,TA,TA,Y,122000
290,6,1396,1,384,698,698,1,7,1915,2003,0,8730,BrkSide,TA,TA,Y,153575
291,8,1919,2,685,1079,1079,2,8,2006,2006,1,15611,CollgCr,Gd,Gd,Y,233230
292,5,1716,0,0,780,936,2,9,1912,2000,0,5687,SWISU,TA,Fa,N,135900
293,5,1716,1,281,768,1148,1,8,1949,2008,1,11409,Edwards,TA,TA,Y,131000
294,7,2263,2,539,795,1468,2,9,1977,1994,1,16659,NWAmes,TA,Gd,Y,235000
295,6,1644,2,418,1416,1644,1,7,1953,1953,2,9600,NAmes,TA,TA,Y,167000
296,6,1003,2,588,1003,1003,1,6,1984,1984,0,7937,Mitchel,TA,TA,Y,142500
297,5,1558,1,282,910,910,1,6,1950,1950,0,13710,IDOTRR,TA,TA,Y,152000
298,7,1950,2,576,975,975,2,7,1997,1998,1,7399,Somerst,Gd,Gd,Y,239000
299,6,1743,2,539,702,1041,1,7,1968,1968,1,11700,NWAmes,Gd,TA,Y,175000
300,6,1152,1,300,1092,1152,1,6,1950,2004,1,14000,Crawfor,TA,Gd,Y,158500
301,5,1336,1,375,1165,1336,1,5,1953,1953,2,15750,Crawfor,TA,TA,Y,157000
302,8,2452,2,683,1028,1210,2,9,1998,1999,1,16226,CollgCr,Gd,Gd,Y,267000
303,7,1541,3,843,1541,1541,2,6,2001,2002,1,13704,CollgCr,Gd,Gd,Y,205000
304,5,894,2,552,894,894,1,5,1972,1972,0,9800,CollgCr,TA,TA,Y,149900
305,7,3493,3,870,1470,1675,3,10,1880,2002,1,18386,OldTown,TA,Gd,Y,295000
306,8,2000,3,888,2000,2000,2,8,2004,2005,0,10386,CollgCr,Gd,Gd,Y,305900
307,7,2243,3,746,700,1122,2,8,1990,1991,1,13474,SawyerW,Gd,Gd,Y,225000
308,6,1406,0,0,319,1035,1,6,1920,1950,0,7920,IDOTRR,TA,Fa,Y,89500
309,4,861,2,539,861,861,1,4,1940,1950,0,12342,Edwards,TA,TA,Y,82500
310,9,1944,3,708,1896,1944,2,8,2003,2004,3,12378,NridgHt,Gd,Ex,Y,360000
311,6,1501,2,420,697,697,2,6,1993,1994,1,7685,Gilbert,TA,Gd,Y,165600
312,6,972,1,240,972,972,1,5,1948,2002,1,8000,NAmes,TA,TA,Y,132000
313,5,1118,2,410,793,793,1,5,1939,1950,1,7800,OldTown,TA,TA,Y,119900
314,7,2036,2,513,2136,2036,2,8,1965,1965,2,215245,Timber,TA,TA,Y,375000
315,7,1641,2,546,728,832,1,6,1925,1990,1,9600,OldTown,TA,Ex,Y,178000
316,7,1432,2,432,716,716,2,6,2004,2005,1,7795,Gilbert,Gd,Gd,Y,188500
317,7,2353,2,484,845,1153,2,10,1980,1980,1,13005,NWAmes,Gd,Ex,Y,260000
318,8,1959,3,1025,1088,1088,2,8,2006,2006,1,9000,Somerst,Gd,Gd,Y,270000
319,7,2646,3,656,1347,1372,2,9,1993,1993,1,9900,NoRidge,Gd,Gd,Y,260000
320,7,1472,2,588,1372,1472,2,6,1980,1980,2,14115,NWAmes,TA,TA,Y,187500
321,9,2596,3,840,1249,1249,3,9,2006,2006,0,16259,NridgHt,TA,Gd,Y,342643
322,8,2468,3,872,1136,1136,2,10,2004,2004,1,12099,NridgHt,Gd,Gd,Y,354000
323,7,2730,2,576,1502,1553,2,8,1986,1987,1,10380,SawyerW,Gd,Gd,Y,301000
324,3,1163,1,220,1162,1163,1,6,1955,2005,0,5820,OldTown,TA,TA,Y,126175
325,7,2978,2,564,710,1898,2,11,1967,2007,1,11275,NAmes,Gd,Gd,Y,242000
326,5,803,2,360,720,803,1,5,1941,1950,0,5000,IDOTRR,TA,TA,N,87000
327,8,1719,2,473,1719,1719,1,6,1993,1993,2,10846,Veenker,Gd,Gd,Y,324000
328,6,1383,1,292,1383,1383,1,7,1960,1960,0,11600,NAmes,TA,TA,Y,145250
329,6,2134,2,441,844,1445,2,10,1916,1994,0,11888,BrkSide,TA,Gd,N,214500
330,5,1192,1,189,596,596,1,6,1920,1950,0,6402,IDOTRR,TA,TA,N,78000
331,5,1728,1,352,1728,1728,2,10,1964,1964,0,10624,NAmes,TA,TA,Y,119000
332,5,1056,1,308,1056,1056,1,6,1958,1992,0,8176,NAmes,TA,TA,Y,139000
333,8,1629,3,880,3206,1629,2,7,2003,2004,1,10655,NridgHt,Gd,Gd,Y,284000
334,7,1358,2,484,1358,1358,2,6,2004,2004,1,8198,NridgHt,Gd,Gd,Y,207000
335,6,1638,2,472,943,943,2,7,1998,1998,2,9042,Gilbert,TA,TA,Y,192000
336,5,1786,2,529,1499,1619,2,7,1965,1965,2,164660,Timber,TA,TA,Y,228950
337,9,1922,3,676,1922,1922,2,8,2005,2006,1,14157,StoneBr,Gd,Gd,Y,377426
338,7,1536,2,532,1536,1536,2,7,2002,2003,0,9135,CollgCr,Gd,Gd,Y,214000
339,7,1621,2,440,1208,1621,2,8,1984,1998,0,14145,NWAmes,Gd,Gd,Y,202500
340,6,1215,1,297,1215,1215,1,6,1958,1998,0,12400,NAmes,TA,TA,Y,155000
341,8,1908,2,431,967,993,2,9,2002,2002,0,14191,Timber,Gd,Gd,Y,202900
342,4,841,1,294,721,841,1,4,1950,1950,0,8400,SawyerW,Fa,TA,Y,82000
343,3,1040,2,400,0,1040,2,6,1949,1950,0,8544,NAmes,TA,TA,N,87500
344,9,1684,2,564,1684,1684,2,6,2005,2005,1,8849,NridgHt,Ex,Ex,Y,266000
345,5,1112,1,336,536,536,1,4,1976,1976,0,2592,MeadowV,TA,TA,Y,85000
346,6,1577,1,312,972,972,1,6,1939,1950,1,6435,BrkSide,TA,Fa,Y,140200
347,6,958,1,301,958,958,1,5,1960,1998,0,12772,NAmes,TA,TA,Y,151500
348,6,1478,2,498,1478,1478,2,6,1960,1960,2,17600,NAmes,TA,TA,Y,157500
349,7,1626,2,474,764,764,2,6,2003,2004,0,2448,NridgHt,Gd,Gd,Y,154000
350,9,2728,3,706,1848,1848,2,10,2005,2006,2,20431,NridgHt,Ex,Ex,Y,437154
351,9,1869,2,617,1869,1869,2,6,2007,2007,1,7820,NridgHt,Ex,Ex,Y,318061
352,7,1453,2,445,1453,1453,1,6,1986,1986,1,5271,ClearCr,TA,Gd,Y,190000
353,5,1111,1,200,616,616,1,5,1941,1950,0,9084,Edwards,TA,TA,N,95000
354,6,720,2,484,624,720,1,5,1928,2003,0,8520,OldTown,TA,TA,Y,105900
355,6,1595,1,240,940,1192,1,6,1940,2000,2,8400,SWISU,TA,TA,Y,140000
356,6,1200,2,521,1200,1200,2,6,1995,1995,0,11249,CollgCr,Gd,Gd,Y,177500
357,6,1167,2,400,1158,1167,2,6,1992,1992,0,9248,Gilbert,TA,Gd,Y,173000
358,5,1142,2,528,1142,1142,1,6,1976,1976,1,4224,MeadowV,TA,TA,Y,134000
359,5,1352,1,288,1062,1352,1,6,1958,1958,0,6930,ClearCr,TA,Gd,Y,130000
360,8,1924,2,592,1086,1086,2,7,1998,1998,1,12011,NoRidge,Gd,Gd,Y,280000
361,6,912,2,470,888,912,1,5,1978,1978,1,7540,Mitchel,TA,TA,Y,156000
362,5,1505,1,240,883,988,1,8,1940,1982,0,9144,BrkSide,TA,TA,Y,145000
363,7,1922,2,672,0,495,3,7,2003,2003,1,7301,Edwards,Gd,Gd,Y,198500
364,6,987,1,264,483,483,1,5,1972,2007,0,1680,BrDale,TA,Gd,Y,118000
365,6,1574,2,566,796,790,2,6,1976,1976,1,18800,NWAmes,TA,TA,Y,190000
366,5,1344,1,468,672,672,1,6,1920,1997,0,10690,IDOTRR,TA,TA,Y,147000
367,6,1394,2,514,1394,1394,1,6,1963,1963,2,9500,NAmes,TA,TA,Y,159000
368,6,1431,1,296,1099,1431,1,6,1962,1962,1,9150,NAmes,TA,TA,Y,165000
369,5,1268,1,244,1268,1268,1,7,1954,1954,1,7800,NAmes,TA,TA,Y,132000
370,5,1287,2,576,1063,1287,1,7,1959,2006,1,9830,NAmes,TA,Gd,Y,162000
371,6,1664,2,460,953,953,2,7,2000,2000,1,8121,Gilbert,TA,TA,Y,172400
372,4,1588,2,680,0,1120,2,7,1959,1959,1,17120,ClearCr,TA,TA,Y,134432
373,6,752,1,264,744,752,1,4,1984,1984,0,7175,SawyerW,TA,TA,Y,125000
374,5,1319,1,270,608,1319,1,5,1953,1953,0,10634,NAmes,TA,TA,Y,123000
375,7,1928,2,434,847,847,2,8,2003,2004,1,8200,CollgCr,Gd,Gd,Y,219500
376,1,904,0,0,683,904,0,4,1922,1950,0,10020,Edwards,Fa,Fa,N,61000
377,5,914,2,576,870,914,1,5,1996,1996,0,8846,CollgCr,Gd,TA,Y,148000
378,8,2466,2,610,1580,1580,3,8,2004,2005,1,11143,Somerst,Gd,Gd,Y,340000
379,9,1856,3,834,1856,1856,1,8,2010,2010,1,11394,StoneBr,Gd,Ex,Y,394432
380,6,1800,2,463,982,1007,2,7,2000,2000,1,8123,Gilbert,TA,TA,Y,179000
381,5,1691,1,308,1026,1026,2,6,1924,1950,1,5000,SWISU,TA,Gd,Y,127000
382,7,1301,2,572,1293,1301,2,5,2006,2006,1,7200,Somerst,Gd,Gd,Y,187750
383,7,1797,2,639,939,939,2,8,2006,2006,0,9245,CollgCr,Gd,Gd,Y,213500
384,6,784,2,360,784,784,1,5,1928,1950,0,9000,SawyerW,TA,TA,N,76000
385,6,1953,2,501,1580,1079,2,9,1992,1992,2,53107,ClearCr,Gd,Gd,Y,240000
386,8,1269,2,430,1256,1269,2,6,2004,2005,1,3182,Blmngtn,Gd,Gd,Y,192000
387,5,1184,0,0,658,658,1,8,1910,1996,0,8410,Edwards,TA,TA,Y,81000
388,6,1125,1,352,1041,1125,1,6,1976,1976,1,7200,Edwards,TA,TA,Y,125000
389,7,1479,2,577,1468,1479,2,6,1999,2000,0,9382,CollgCr,Gd,Gd,Y,191000
390,10,2332,3,846,1682,1742,2,9,2007,2008,1,12474,NridgHt,Ex,Ex,Y,426000
391,5,1367,1,384,861,961,1,7,1900,1950,0,8405,Edwards,TA,TA,Y,119000
392,6,1961,2,560,804,804,2,7,2001,2002,1,12209,Mitchel,TA,Gd,Y,215000
393,5,882,1,294,0,882,1,5,1959,1959,0,8339,NAmes,TA,TA,Y,106500
394,4,788,0,0,788,788,1,4,1941,1950,2,7446,BrkSide,TA,TA,Y,100000
395,5,1034,1,240,735,735,1,5,1940,1950,0,10134,OldTown,TA,TA,Y,109000
396,5,1144,1,596,1144,1144,1,6,1956,1956,0,9571,Edwards,TA,TA,Y,129000
397,5,894,2,600,894,894,1,6,1972,1972,0,7200,CollgCr,TA,TA,Y,123000
398,5,1812,1,264,864,876,2,8,1962,1962,1,7590,NAmes,TA,TA,Y,169500
399,5,1077,1,338,961,1077,1,6,1920,1950,0,8967,IDOTRR,TA,TA,Y,67000
400,7,1550,2,438,1092,1112,2,7,2006,2007,0,8125,Somerst,Gd,Gd,Y,241000
401,8,1288,2,500,1260,1288,1,4,1996,1996,2,14963,Veenker,Gd,Ex,Y,245500
402,7,1310,2,400,1310,1310,2,6,2005,2005,1,8767,CollgCr,Gd,Gd,Y,164990
403,5,672,1,240,672,672,1,4,1940,1997,0,10200,Sawyer,TA,TA,Y,108000
404,8,2263,2,420,1141,1165,2,10,1998,1998,1,12090,NoRidge,Gd,Gd,Y,258000
405,6,1572,2,373,806,806,2,7,1995,1996,1,10364,Gilbert,TA,TA,Y,168000
406,4,1620,2,490,1281,1620,2,8,1976,1993,1,9991,Sawyer,TA,TA,Y,150000
407,6,1639,1,240,1064,1166,1,6,1936,1950,0,10480,SWISU,TA,TA,Y,115000
408,6,1680,1,308,840,840,2,8,1915,1976,0,15576,Crawfor,TA,TA,Y,177000
409,7,2172,3,947,1063,1071,2,9,2006,2006,1,14154,NridgHt,Gd,Gd,Y,280000
410,8,2078,3,836,1034,1050,2,8,2007,2008,1,10800,Somerst,Gd,Ex,Y,339750
411,5,1276,1,350,1276,1276,1,5,1958,1958,0,9571,Edwards,TA,TA,Y,60000
412,5,1056,2,572,1056,1056,1,5,1955,1955,0,34650,Gilbert,TA,TA,N,145000
413,7,1478,2,484,1470,1478,2,7,2009,2009,1,4403,Somerst,Ex,Gd,Y,222000
414,5,1028,2,360,1008,1028,1,5,1927,1950,1,8960,OldTown,TA,TA,Y,115000
415,7,2097,3,678,1080,1080,2,9,1993,1993,1,11228,SawyerW,Gd,Gd,Y,228000
416,7,1340,2,396,1340,1340,2,6,2007,2007,0,8899,Gilbert,Gd,Gd,Y,181134
417,6,1400,2,440,672,672,1,6,1978,1978,1,7844,Sawyer,TA,TA,Y,149500
418,6,2624,3,864,1370,1370,2,10,1918,1950,1,22420,Crawfor,TA,TA,N,239000
419,5,1134,1,240,756,756,1,7,1940,1950,0,8160,Edwards,TA,TA,N,126000
420,5,1056,1,304,1056,1056,1,6,1968,1968,1,8450,NAmes,TA,TA,Y,142000
421,7,1344,4,784,1344,1344,2,8,1997,1998,0,7060,Mitchel,TA,TA,Y,206300
422,6,1602,2,529,1602,1602,2,8,1977,2000,1,16635,NWAmes,Gd,Gd,Y,215000
423,5,988,2,520,988,988,1,4,1954,1954,0,21750,Mitchel,TA,TA,Y,113000
424,8,2630,3,696,1470,1470,2,8,1998,1998,1,9200,NoRidge,Gd,Gd,Y,315000
425,6,1196,1,297,1196,1196,1,6,1956,1956,1,9000,NAmes,TA,TA,Y,139000
426,7,1389,1,240,651,707,1,6,1946,1992,2,3378,OldTown,TA,TA,Y,135000
427,7,1644,2,569,1518,1644,2,5,1989,1989,1,12800,SawyerW,Gd,Gd,Y,275000
428,4,907,1,352,907,907,1,5,1957,1957,0,8593,NAmes,TA,TA,Y,109008
429,7,1208,2,628,1208,1208,2,6,2007,2007,0,6762,CollgCr,Gd,Gd,Y,195400
430,6,1412,2,576,1392,1412,2,6,1988,1988,1,11457,Timber,TA,Gd,Y,175000
431,6,987,1,264,483,483,1,4,1971,1971,0,1680,BrDale,TA,TA,Y,85400
432,6,1198,0,0,901,1088,1,7,1920,1998,0,5586,OldTown,TA,TA,Y,79900
433,5,1365,2,440,765,765,1,6,1971,1971,0,1920,BrDale,TA,TA,Y,122500
434,6,1604,2,470,926,926,2,7,1997,1998,1,10839,Gilbert,TA,TA,Y,181000
435,4,630,0,0,630,630,1,3,1972,1972,0,1890,MeadowV,TA,TA,Y,81000
436,7,1661,2,550,799,827,2,6,1996,1996,1,10667,CollgCr,Gd,Gd,Y,212000
437,6,1118,2,440,648,734,1,6,1920,1950,0,4400,OldTown,TA,TA,Y,116000
438,6,904,1,180,884,904,1,4,1926,2004,0,6000,BrkSide,Gd,TA,Y,119000
439,5,694,1,352,440,694,1,4,1913,2002,1,4280,Crawfor,TA,Gd,N,90350
440,6,1196,2,528,684,684,1,7,1920,2000,0,12354,Edwards,TA,Gd,Y,110000
441,10,2402,3,672,3094,2402,2,10,2008,2008,2,15431,NridgHt,Ex,Ex,Y,555000
442,4,1440,0,0,1440,1440,2,8,1955,1955,0,12108,Edwards,TA,Fa,N,118000
443,5,1573,2,360,1078,1128,2,8,1930,1992,1,6240,BrkSide,TA,TA,Y,162900
444,7,1258,3,648,1258,1258,2,6,2006,2007,1,3922,Blmngtn,Gd,Gd,Y,172500
445,7,1908,2,493,915,933,2,8,1994,1995,1,8750,CollgCr,Gd,Gd,Y,210000
446,6,1689,2,480,1436,1689,1,7,1956,1956,1,9855,Edwards,TA,TA,Y,127500
447,6,1888,2,578,1517,1888,2,6,1966,2002,1,16492,NAmes,Gd,Gd,Y,190000
448,7,1886,2,431,930,956,2,10,1998,1999,1,11214,Gilbert,Gd,Gd,Y,199900
449,6,1376,1,198,780,780,2,7,1937,1950,1,8600,IDOTRR,TA,TA,Y,119500
450,3,1183,1,308,649,679,1,6,1948,2002,0,6000,OldTown,TA,TA,Y,120000
451,6,813,1,270,813,813,1,5,1930,2005,0,5684,OldTown,TA,Gd,Y,110000
452,7,1533,2,576,1533,1533,2,5,1975,1975,2,70761,ClearCr,TA,Gd,Y,280000
453,6,1756,2,422,872,888,2,7,1996,1997,0,9303,Timber,Gd,TA,Y,204000
454,8,1590,2,676,768,786,2,6,2008,2008,0,9000,Somerst,Gd,Gd,Y,210000
455,5,1728,2,560,1728,1728,2,8,1976,1976,0,9297,Mitchel,TA,TA,Y,188000
456,7,1242,2,528,1242,1242,1,6,1973,1973,1,9600,NWAmes,TA,TA,Y,175500
457,5,1344,3,513,624,624,1,7,1916,1950,0,4571,OldTown,TA,TA,N,98000
458,4,1663,2,529,1364,1663,1,6,1954,1994,2,53227,ClearCr,TA,Gd,Y,256000
459,8,1666,1,228,588,833,1,7,1925,1996,1,5100,OldTown,TA,Gd,Y,161000
460,5,1203,1,352,709,979,1,5,1950,1950,1,7015,BrkSide,TA,Gd,Y,110000
461,8,1935,2,552,832,832,2,8,2009,2009,0,8004,Somerst,Gd,TA,Y,263435
462,7,1135,2,576,560,575,1,6,1936,2007,0,7200,SWISU,Gd,Gd,Y,155000
463,5,864,1,360,864,864,1,5,1965,1965,1,8281,Sawyer,TA,TA,Y,62383
464,6,1660,1,240,715,849,1,6,1934,1995,1,11988,Crawfor,TA,TA,Y,188700
465,5,1040,0,0,1040,1040,2,5,1978,1978,0,8430,CollgCr,TA,TA,Y,124000
466,7,1414,2,398,1375,1414,2,6,2004,2004,1,3072,Blmngtn,Gd,Gd,Y,178740
467,7,1277,2,526,1277,1277,1,5,1970,1970,1,10628,NAmes,TA,TA,Y,167000
468,5,1644,1,312,728,888,1,7,1942,1995,2,9480,NAmes,TA,Gd,Y,146500
469,8,1634,3,866,1626,1634,2,7,2006,2006,1,11428,NridgHt,Gd,Gd,Y,250000
470,6,1710,2,506,832,832,2,7,1993,1993,0,9291,SawyerW,Gd,Gd,Y,187000
471,8,1502,2,528,1488,1502,1,4,1985,1985,0,6820,StoneBr,Gd,Gd,Y,212000
472,7,1969,2,534,808,1161,2,8,1977,1977,1,11952,NWAmes,TA,TA,Y,190000
473,6,1072,2,525,547,1072,1,5,2005,2005,0,3675,Edwards,TA,TA,Y,148000
474,8,1976,3,908,1976,1976,2,7,2006,2007,1,14977,NridgHt,Gd,Gd,Y,440000
475,8,1652,2,499,1494,1652,2,6,2000,2000,0,5330,StoneBr,Gd,Ex,Y,251000
476,5,970,2,624,970,970,1,5,1963,1963,0,8480,Sawyer,TA,TA,Y,132500
477,6,1493,2,508,1478,1493,2,7,1997,1998,1,13125,CollgCr,TA,Gd,Y,208900
478,9,2643,3,694,2153,2069,2,9,2006,2006,1,13693,NridgHt,Ex,Ex,Y,380000
479,8,1718,3,826,1705,1718,2,7,2007,2008,1,10637,CollgCr,Gd,Gd,Y,297000
480,4,1131,2,672,907,1131,1,7,1937,2000,0,5925,OldTown,TA,TA,Y,89471
481,9,1850,3,772,1833,1850,2,8,2004,2005,1,16033,NridgHt,Gd,Gd,Y,326000
482,9,1792,3,874,1792,1792,2,6,2003,2004,1,11846,NridgHt,Gd,Ex,Y,374000
483,7,1826,1,164,910,916,1,7,1915,2005,1,2500,OldTown,Gd,Ex,Y,155000
484,6,1216,2,402,1216,1216,2,5,1998,1998,0,4500,Mitchel,TA,TA,Y,164000
485,5,999,1,264,999,999,1,6,1962,2001,0,7758,Sawyer,TA,Gd,Y,132500
486,5,1113,1,264,1113,1113,1,5,1950,2007,1,9600,NAmes,Gd,Gd,Y,147000
487,5,1073,2,515,1073,1073,1,6,1965,1965,0,10289,NAmes,TA,TA,Y,156000
488,5,1484,2,487,1484,1484,2,7,1971,1971,1,12243,NWAmes,TA,TA,Y,175000
489,5,2414,2,520,954,1766,2,10,1900,1970,1,10800,OldTown,TA,TA,N,160000
490,4,630,1,286,630,630,1,3,1970,2002,0,1526,MeadowV,TA,Gd,Y,86000
491,5,1304,1,336,264,616,1,4,1976,1976,1,2665,MeadowV,TA,TA,Y,115000
492,6,1578,1,240,806,958,1,5,1941,1950,2,9490,NAmes,TA,Fa,Y,133000
493,6,1456,2,429,728,728,2,8,2006,2006,0,15578,Gilbert,Gd,TA,Y,172785
494,5,1269,1,308,1269,1269,1,6,1960,1960,1,7931,NAmes,TA,TA,Y,155000
495,5,886,1,273,190,886,1,4,1938,1996,0,5784,OldTown,TA,TA,Y,91300
496,4,720,0,0,720,720,1,4,1920,1950,0,7879,IDOTRR,TA,TA,N,34900
497,8,3228,2,546,3200,3228,3,10,1992,1993,1,12692,NoRidge,Gd,Gd,Y,430000
498,7,1820,1,240,1026,1133,2,8,1925,1950,0,9120,BrkSide,TA,TA,Y,184000
499,5,899,1,288,864,899,1,5,1967,2004,0,7800,Sawyer,TA,Gd,Y,130000
500,5,912,1,297,912,912,1,5,1958,1985,0,7535,NAmes,TA,TA,Y,120000
501,6,1218,1,264,672,672,1,7,1973,1973,0,1890,BrDale,TA,TA,Y,113000
502,7,1768,2,603,866,866,2,7,2005,2005,0,9803,Somerst,Gd,Gd,Y,226700
503,5,1214,2,461,1214,1214,1,6,1965,1965,0,9170,Edwards,TA,TA,Y,140000
504,7,1801,2,484,1501,1801,2,6,1959,1997,2,15602,Crawfor,TA,TA,Y,289000
505,6,1322,2,440,855,855,2,6,1974,1974,1,2308,NPkVill,TA,TA,Y,147000
506,5,1960,2,400,960,960,2,10,1952,1952,0,7596,OldTown,TA,TA,Y,124500
507,8,1911,2,471,777,1065,2,8,1993,1994,1,9554,SawyerW,Gd,Gd,Y,215000
508,6,1218,2,676,1218,1218,2,4,2009,2009,0,7862,Somerst,Gd,Gd,Y,208300
509,7,1378,2,360,689,689,2,7,1928,2005,1,9600,OldTown,TA,Gd,Y,161000
510,5,1041,1,270,1041,1041,1,6,1959,1959,0,9600,NAmes,TA,TA,Y,124500
511,5,1363,1,288,1008,1363,1,6,1951,2000,2,14559,NAmes,Gd,TA,Y,164900
512,7,1368,2,474,1368,1368,2,6,2005,2006,1,6792,NridgHt,Gd,Gd,Y,202665
513,5,864,2,624,864,864,1,5,1958,1958,0,9100,NAmes,TA,TA,Y,129900
514,6,1080,2,484,1084,1080,1,5,1983,1983,0,9187,Mitchel,TA,TA,Y,134000
515,5,789,1,200,768,789,1,5,1926,1950,0,10594,Crawfor,TA,TA,N,96500
516,10,2020,3,900,2006,2020,2,9,2009,2009,1,12220,NridgHt,Ex,Ex,Y,402861
517,6,2119,2,583,689,1378,2,7,1972,1972,1,10448,NWAmes,TA,TA,Y,158000
518,7,2344,3,889,1264,1277,2,7,1996,1997,1,10208,NoRidge,Gd,Gd,Y,265000
519,6,1796,2,546,794,882,2,7,1998,1998,0,9531,CollgCr,TA,TA,Y,211000
520,7,2080,1,282,1276,1276,1,9,1926,2004,2,10918,Crawfor,Gd,Gd,Y,234000
521,4,1294,0,0,0,694,2,7,1900,2000,0,10800,OldTown,TA,TA,N,106250
522,6,1244,1,336,1244,1244,1,6,1957,1957,2,11988,NAmes,TA,TA,Y,150000
523,6,1664,2,420,1004,1004,2,7,1947,1950,2,5000,BrkSide,TA,TA,Y,159000
524,10,4676,3,884,3138,3138,3,11,2007,2008,1,40094,Edwards,Ex,Ex,Y,184750
525,7,2398,3,834,1379,1383,2,8,1996,1997,1,11787,NoRidge,Gd,Gd,Y,315750
526,7,1266,2,453,1257,1266,2,6,2005,2005,1,7500,Somerst,Gd,Gd,Y,176000
527,5,928,1,252,928,928,1,4,1956,2000,0,13300,NAmes,TA,TA,Y,132000
528,9,2713,3,858,1452,1476,2,11,2008,2008,1,14948,NridgHt,Ex,Ex,Y,446261
529,4,605,0,0,528,605,1,5,1920,2002,0,9098,Edwards,TA,TA,Y,86000
530,6,2515,2,484,2035,2515,3,9,1957,1975,2,32668,Crawfor,Gd,TA,Y,200624
531,6,1509,2,600,1461,1509,2,5,1988,1989,1,10200,Timber,Gd,Gd,Y,175000
532,6,1362,2,502,611,751,2,6,1920,1999,0,6155,BrkSide,TA,TA,Y,128000
533,5,827,1,392,0,827,1,5,1955,2007,1,7200,NAmes,TA,TA,Y,107500
534,1,334,0,0,0,334,1,2,1946,1950,0,5000,BrkSide,Fa,Fa,N,39300
535,8,1414,2,403,707,707,2,6,2004,2004,1,9056,Gilbert,Gd,Gd,Y,178000
536,5,1347,0,0,1117,820,1,5,1910,1991,0,7000,Edwards,TA,TA,Y,107500
537,7,1724,2,527,880,880,2,8,1998,1999,0,8924,CollgCr,TA,Gd,Y,188000
538,4,864,2,576,864,864,1,5,1972,1972,0,12735,NAmes,TA,TA,Y,111250
539,5,1159,1,336,1051,1159,1,7,1968,1968,1,11553,Sawyer,TA,TA,Y,158000
540,8,1601,2,670,1581,1601,2,6,2001,2002,1,11423,CollgCr,Gd,Gd,Y,272000
541,9,1838,3,765,1838,1838,2,8,2006,2006,1,14601,Timber,Ex,Ex,Y,315000
542,8,2285,3,648,969,997,2,8,2000,2000,1,11000,NoRidge,Gd,Gd,Y,248000
543,7,1680,2,583,1650,1680,2,7,1998,1999,1,10140,NWAmes,Gd,Gd,Y,213250
544,7,767,1,367,723,767,1,4,1998,1998,0,4058,NAmes,TA,TA,Y,133000
545,7,1496,2,426,654,664,2,7,2006,2006,1,17104,Gilbert,Gd,Gd,Y,179665
546,7,2183,3,786,1204,1377,2,9,1988,1988,0,13837,NWAmes,Gd,Gd,Y,229000
547,6,1635,2,440,1065,915,1,6,1923,1950,1,8737,BrkSide,TA,TA,Y,210000
548,5,768,2,624,768,768,1,5,1970,1970,0,7244,Mitchel,TA,TA,Y,129500
549,5,825,2,720,825,825,1,4,1955,1995,0,8235,OldTown,TA,TA,Y,125000
550,7,2094,2,615,912,912,2,8,2003,2004,1,9375,Somerst,Gd,Gd,Y,263000
551,6,1069,2,440,1069,1069,2,4,1977,1977,0,4043,NPkVill,TA,TA,Y,140000
552,5,928,1,288,928,928,1,5,1957,1957,0,6000,OldTown,TA,TA,Y,112500
553,8,1717,3,908,1709,1717,2,7,2006,2006,1,11146,NridgHt,Gd,Gd,Y,255500
554,4,1126,2,520,0,1126,2,5,1949,2003,0,8777,Edwards,TA,Gd,Y,108000
555,7,2046,3,871,998,1006,2,8,2003,2004,1,10625,NridgHt,Gd,Gd,Y,284000
556,5,1048,1,280,993,1048,1,5,1922,1950,1,6380,BrkSide,TA,TA,Y,113000
557,5,1092,1,299,1092,1092,1,6,1957,1957,1,14850,NAmes,TA,TA,Y,141000
558,4,1336,1,570,637,897,1,7,1920,1950,0,11040,IDOTRR,TA,TA,Y,108000
559,7,1446,2,406,729,729,2,6,1996,1997,1,21872,Gilbert,TA,TA,Y,175000
