Id,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,Fireplaces,LotArea,Neighborhood,ExterQual,KitchenQual,CentralAir,TotalSF,HouseAge,RemodAge,IsRemodeled,Qual_x_Area,Qual_x_TotalSF,HasFireplace,LotRatio,SalePrice
211,5,864,0,864,1,1925,1950,0,5604,Edwards,TA,TA,N,1728,85,60,1,4320,8640,0,0.154176,98000
212,6,1212,2,1212,2,2009,2009,0,10420,Edwards,TA,Gd,Y,2424,1,1,0,7272,14544,0,0.116315,186000
213,7,1852,2,900,2,2009,2009,1,8640,Somerst,TA,Gd,Y,2752,1,1,0,12964,19264,1,0.214352,252678
214,5,990,2,990,1,1995,1995,0,13568,CollgCr,TA,TA,Y,1980,15,15,0,4950,9900,0,0.072966,156000
215,6,1392,1,689,1,1977,1977,0,10900,CollgCr,TA,TA,Y,2081,33,33,0,8352,12486,0,0.127706,161750
216,5,1236,1,1070,1,1957,1996,1,10011,NAmes,TA,Gd,Y,2306,53,14,1,6180,11530,1,0.123464,134450
217,7,1436,2,1436,2,2004,2004,0,8450,CollgCr,Gd,Gd,Y,2872,6,6,0,10052,20104,0,0.169941,210000
218,4,1328,1,686,1,1925,1950,0,9906,OldTown,TA,TA,N,2014,85,60,1,5312,8056,0,0.13406,107000
219,7,1954,2,798,1,1939,2006,2,15660,Crawfor,Gd,Gd,Y,2752,71,4,1,13678,19264,1,0.124777,311500
220,7,1248,2,1248,2,2005,2006,0,3010,Blmngtn,Gd,Gd,Y,2496,5,4,1,8736,17472,0,0.414618,167240
221,7,1498,2,1498,2,2006,2006,0,8990,CollgCr,Gd,Gd,Y,2996,4,4,0,10486,20972,0,0.16663,204900
222,6,2267,2,1010,2,2002,2002,1,8068,Gilbert,Gd,Gd,Y,3277,8,8,0,13602,19662,1,0.280987,200000
223,6,1552,2,713,2,1975,1975,1,11475,NWAmes,TA,TA,Y,2265,35,35,0,9312,13590,1,0.135251,179900
224,4,864,2,864,1,1971,1971,0,10500,NAmes,TA,TA,Y,1728,39,39,0,3456,6912,0,0.082286,97000
225,10,2392,3,2392,2,2003,2003,1,13472,NridgHt,Ex,Ex,Y,4784,7,7,0,23920,47840,1,0.177553,386250
226,5,1302,1,630,2,1971,1971,0,1680,BrDale,TA,TA,Y,1932,39,39,0,6510,9660,0,0.775,112000
227,7,2520,3,1203,2,1995,1995,1,9950,NoRidge,Gd,Gd,Y,3723,15,15,0,17640,26061,1,0.253266,290000
228,6,987,1,483,1,1970,1970,0,1869,BrDale,TA,TA,Y,1470,40,40,0,5922,8820,0,0.52809,106000
229,5,912,1,912,1,1967,1967,1,8521,Sawyer,TA,TA,Y,1824,43,43,0,4560,9120,1,0.10703,125000
230,7,1555,2,1373,2,2005,2006,1,3182,Blmngtn,Gd,Gd,Y,2928,5,4,1,10885,20496,1,0.488686,192500
231,6,1194,1,1194,1,1959,1959,0,8760,NAmes,TA,TA,Y,2388,51,51,0,7164,14328,0,0.136301,148000
232,8,2794,3,1462,2,1995,1996,1,15138,NoRidge,Gd,Ex,Y,4256,15,14,1,22352,34048,1,0.184569,403000
233,6,987,1,483,1,1972,1972,1,1680,BrDale,TA,TA,Y,1470,38,38,0,5922,8820,1,0.5875,94500
234,5,894,1,894,1,1976,1976,0,10650,CollgCr,TA,TA,Y,1788,34,34,0,4470,8940,0,0.083944,128200
235,6,1960,2,860,2,2002,2002,2,7851,Gilbert,Gd,Gd,Y,2820,8,8,0,11760,16920,1,0.24965,216500
236,6,987,1,483,1,1971,1971,0,1680,BrDale,TA,TA,Y,1470,39,39,0,5922,8820,0,0.5875,89500
237,7,1414,2,1414,2,2004,2004,0,8773,CollgCr,Gd,Gd,Y,2828,6,6,0,9898,19796,0,0.161176,185500
238,7,1744,2,996,2,1993,2003,0,9453,SawyerW,Gd,Gd,Y,2740,17,7,1,12208,19180,0,0.184492,194500
239,8,1694,3,1694,2,2007,2007,0,12030,NridgHt,Ex,Gd,Y,3388,3,3,0,13552,27104,0,0.140815,318000
240,6,1487,1,735,1,1945,1950,1,8741,Edwards,TA,TA,Y,2222,65,60,1,8922,13332,1,0.170118,113000
241,8,1566,2,1566,2,2008,2008,0,9000,Somerst,Gd,Gd,Y,3132,2,2,0,12528,25056,0,0.174,262500
242,5,866,0,686,1,1945,1997,0,3880,OldTown,TA,Gd,Y,1552,65,13,1,4330,7760,0,0.223196,110500
243,5,1440,1,540,1,1900,1950,0,5000,OldTown,TA,TA,N,1980,110,60,1,7200,9900,0,0.288,79000
244,6,1217,1,626,1,1980,1980,1,10762,SawyerW,TA,TA,Y,1843,30,30,0,7302,11058,1,0.113083,120000
245,7,2110,2,948,2,1994,2002,2,8880,SawyerW,Gd,Gd,Y,3058,16,8,1,14770,21406,1,0.237613,205000
246,7,1872,2,1845,2,1988,1988,1,10400,NWAmes,TA,TA,Y,3717,22,22,0,13104,26019,1,0.18,241500
247,6,1928,1,1020,2,1910,1950,0,9142,OldTown,TA,Fa,N,2948,100,60,1,11568,17688,0,0.210895,137000
248,6,1375,2,1367,1,1954,1954,1,11310,NAmes,TA,TA,Y,2742,56,56,0,8250,16452,1,0.121574,140000
249,7,1668,2,840,2,2003,2003,0,11317,CollgCr,Gd,Gd,Y,2508,7,7,0,11676,17556,0,0.147389,180000
250,6,2144,2,1444,2,1958,2006,2,159000,ClearCr,Gd,Gd,Y,3588,52,4,1,12864,21528,1,0.013484,277000
251,3,1306,0,728,1,1940,1966,0,5350,BrkSide,TA,Fa,Y,2034,70,44,1,3918,6102,0,0.244112,76500
252,8,1625,2,1573,2,2006,2007,1,4750,Crawfor,Gd,Gd,Y,3198,4,3,1,13000,25584,1,0.342105,235000
253,6,1640,2,798,2,2004,2004,0,8366,SawyerW,Gd,Gd,Y,2438,6,6,0,9840,14628,0,0.196032,173000
254,6,1302,1,1302,2,1964,1991,0,9350,NAmes,TA,Gd,Y,2604,46,19,1,7812,15624,0,0.139251,158000
255,5,1314,1,1314,1,1957,1957,0,8400,NAmes,TA,TA,Y,2628,53,53,0,6570,13140,0,0.156429,145000
256,7,2291,2,975,2,1999,1999,1,8738,Gilbert,Gd,Gd,Y,3266,11,11,0,16037,22862,1,0.262188,230000
257,6,1728,2,864,2,2003,2003,0,8791,Somerst,Gd,Gd,Y,2592,7,7,0,10368,15552,0,0.196565,207500
258,7,1604,2,1604,2,2006,2006,1,8814,CollgCr,Gd,Gd,Y,3208,4,4,0,11228,22456,1,0.181983,220000
259,7,1792,2,963,2,2001,2001,1,12435,CollgCr,Gd,Gd,Y,2755,9,9,0,12544,19285,1,0.144109,231500
260,5,882,1,0,1,1956,1956,0,12702,OldTown,TA,TA,Y,882,54,54,0,4410,4410,0,0.069438,97000
261,6,1382,2,1362,1,1962,1962,1,19296,NAmes,TA,TA,Y,2744,48,48,0,8292,16464,1,0.071621,176000
262,8,2574,3,1482,2,2007,2007,1,9588,CollgCr,Gd,Ex,Y,4056,3,3,0,20592,32448,1,0.268461,276000
263,6,1212,2,506,1,1977,1995,1,8471,Sawyer,TA,TA,Y,1718,33,15,1,7272,10308,1,0.143076,151000
264,5,1316,2,926,1,1929,2001,0,5500,OldTown,TA,TA,Y,2242,81,9,1,6580,11210,0,0.239273,130000
265,5,764,2,680,1,1925,2004,0,5232,OldTown,TA,TA,N,1444,85,6,1,3820,7220,0,0.146024,73000
266,6,1422,2,1422,2,1981,1981,1,12090,NWAmes,TA,Gd,Y,2844,29,29,0,8532,17064,1,0.117618,175500
267,6,1511,2,802,2,1997,1997,1,11207,Gilbert,TA,TA,Y,2313,13,13,0,9066,13878,1,0.134826,185000
268,5,2192,1,720,2,1939,1997,1,8400,SWISU,TA,Gd,Y,2912,71,13,1,10960,14560,1,0.260952,179500
269,5,778,1,740,1,1940,1955,1,6900,IDOTRR,TA,TA,Y,1518,70,55,1,3890,7590,1,0.112754,120500
270,6,1113,1,1143,1,1976,1976,1,7917,Edwards,TA,TA,Y,2256,34,34,0,6678,13536,1,0.140584,148000
271,8,1939,3,1095,2,2006,2006,1,10728,Somerst,Gd,Gd,Y,3034,4,4,0,15512,24272,1,0.180742,266000
272,7,1363,2,1385,1,1954,2005,2,39104,ClearCr,TA,TA,Y,2748,56,5,1,9541,19236,1,0.034856,241500
273,8,2270,3,1152,2,1999,2007,1,11764,NoRidge,Gd,Gd,Y,3422,11,3,1,18160,27376,1,0.192962,290000
274,6,1632,1,1240,2,1958,1988,1,9600,NAmes,TA,TA,Y,2872,52,22,1,9792,17232,1,0.17,139000
275,5,816,1,816,1,1982,1982,0,8314,Mitchel,TA,TA,Y,1632,28,28,0,4080,8160,0,0.098148,124500
276,7,1548,2,952,2,1925,2007,0,7264,BrkSide,Gd,Ex,N,2500,85,3,1,10836,17500,0,0.213106,205000
277,7,1560,2,1560,2,2003,2003,0,9196,Mitchel,Gd,Gd,Y,3120,7,7,0,10920,21840,0,0.169639,201000
278,4,864,2,864,1,1951,1951,0,19138,Gilbert,TA,TA,Y,1728,59,59,0,3456,6912,0,0.045146,141000
279,9,2121,3,2121,2,2006,2007,1,14450,NridgHt,Ex,Ex,Y,4242,4,3,1,19089,38178,1,0.146782,415298
280,7,2022,2,1160,2,1977,1977,1,10005,ClearCr,TA,TA,Y,3182,33,33,0,14154,22274,1,0.202099,192000
281,7,1982,2,807,2,1989,1989,1,11287,SawyerW,Gd,Gd,Y,2789,21,21,0,13874,19523,1,0.1756,228500
282,6,1262,2,1262,2,2006,2006,0,7200,Somerst,Gd,Gd,Y,2524,4,4,0,7572,15144,0,0.175278,185000
283,7,1314,2,1314,2,2007,2008,1,5063,NridgHt,Gd,Gd,Y,2628,3,2,1,9198,18396,1,0.25953,207500
284,8,1468,3,1468,2,2008,2009,1,9612,Somerst,Gd,Gd,Y,2936,2,1,1,11744,23488,1,0.152726,244600
285,6,1575,2,1575,2,1992,1992,0,8012,SawyerW,Gd,Gd,Y,3150,18,18,0,9450,18900,0,0.19658,179200
286,7,1250,2,625,2,2006,2007,0,4251,Somerst,Gd,Gd,Y,1875,4,3,1,8750,13125,0,0.294048,164700
287,6,1734,2,912,1,1962,1981,1,9786,NAmes,TA,Gd,Y,2646,48,29,1,10404,15876,1,0.177192,159000
288,4,858,0,858,1,1971,1971,0,8125,NAmes,TA,TA,Y,1716,39,39,0,3432,6864,0,0.1056,88000
289,5,900,1,882,1,1967,1967,0,9819,Sawyer,TA,TA,Y,1782,43,43,0,4500,8910,0,0.091659,122000
290,6,1396,1,698,1,1915,2003,0,8730,BrkSide,TA,TA,Y,2094,95,7,1,8376,12564,0,0.159908,153575
291,8,1919,2,1079,2,2006,2006,1,15611,CollgCr,Gd,Gd,Y,2998,4,4,0,15352,23984,1,0.122926,233230
292,5,1716,0,780,2,1912,2000,0,5687,SWISU,TA,Fa,N,2496,98,10,1,8580,12480,0,0.301741,135900
293,5,1716,1,768,1,1949,2008,1,11409,Edwards,TA,TA,Y,2484,61,2,1,8580,12420,1,0.150408,131000
294,7,2263,2,795,2,1977,1994,1,16659,NWAmes,TA,Gd,Y,3058,33,16,1,15841,21406,1,0.135842,235000
295,6,1644,2,1416,1,1953,1953,2,9600,NAmes,TA,TA,Y,3060,57,57,0,9864,18360,1,0.17125,167000
296,6,1003,2,1003,1,1984,1984,0,7937,Mitchel,TA,TA,Y,2006,26,26,0,6018,12036,0,0.12637,142500
297,5,1558,1,910,1,1950,1950,0,13710,IDOTRR,TA,TA,Y,2468,60,60,0,7790,12340,0,0.11364,152000
298,7,1950,2,975,2,1997,1998,1,7399,Somerst,Gd,Gd,Y,2925,13,12,1,13650,20475,1,0.263549,239000
299,6,1743,2,702,1,1968,1968,1,11700,NWAmes,Gd,TA,Y,2445,42,42,0,10458,14670,1,0.148974,175000
300,6,1152,1,1092,1,1950,2004,1,14000,Crawfor,TA,Gd,Y,2244,60,6,1,6912,13464,1,0.082286,158500
301,5,1336,1,1165,1,1953,1953,2,15750,Crawfor,TA,TA,Y,2501,57,57,0,6680,12505,1,0.084825,157000
302,8,2452,2,1028,2,1998,1999,1,16226,CollgCr,Gd,Gd,Y,3480,12,11,1,19616,27840,1,0.151115,267000
303,7,1541,3,1541,2,2001,2002,1,13704,CollgCr,Gd,Gd,Y,3082,9,8,1,10787,21574,1,0.112449,205000
304,5,894,2,894,1,1972,1972,0,9800,CollgCr,TA,TA,Y,1788,38,38,0,4470,8940,0,0.091224,149900
305,7,3493,3,1470,3,1880,2002,1,18386,OldTown,TA,Gd,Y,4963,130,8,1,24451,34741,1,0.189982,295000
306,8,2000,3,2000,2,2004,2005,0,10386,CollgCr,Gd,Gd,Y,4000,6,5,1,16000,32000,0,0.192567,305900
307,7,2243,3,700,2,1990,1991,1,13474,SawyerW,Gd,Gd,Y,2943,20,19,1,15701,20601,1,0.166469,225000
308,6,1406,0,319,1,1920,1950,0,7920,IDOTRR,TA,Fa,Y,1725,90,60,1,8436,10350,0,0.177525,89500
309,4,861,2,861,1,1940,1950,0,12342,Edwards,TA,TA,Y,1722,70,60,1,3444,6888,0,0.069762,82500
310,9,1944,3,1896,2,2003,2004,3,12378,NridgHt,Gd,Ex,Y,3840,7,6,1,17496,34560,1,0.157053,360000
311,6,1501,2,697,2,1993,1994,1,7685,Gilbert,TA,Gd,Y,2198,17,16,1,9006,13188,1,0.195316,165600
312,6,972,1,972,1,1948,2002,1,8000,NAmes,TA,TA,Y,1944,62,8,1,5832,11664,1,0.1215,132000
313,5,1118,2,793,1,1939,1950,1,7800,OldTown,TA,TA,Y,1911,71,60,1,5590,9555,1,0.143333,119900
314,7,2036,2,2136,2,1965,1965,2,215245,Timber,TA,TA,Y,4172,45,45,0,14252,29204,1,0.009459,375000
315,7,1641,2,728,1,1925,1990,1,9600,OldTown,TA,Ex,Y,2369,85,20,1,11487,16583,1,0.170938,178000
316,7,1432,2,716,2,2004,2005,1,7795,Gilbert,Gd,Gd,Y,2148,6,5,1,10024,15036,1,0.183708,188500
317,7,2353,2,845,2,1980,1980,1,13005,NWAmes,Gd,Ex,Y,3198,30,30,0,16471,22386,1,0.18093,260000
318,8,1959,3,1088,2,2006,2006,1,9000,Somerst,Gd,Gd,Y,3047,4,4,0,15672,24376,1,0.217667,270000
319,7,2646,3,1347,2,1993,1993,1,9900,NoRidge,Gd,Gd,Y,3993,17,17,0,18522,27951,1,0.267273,260000
320,7,1472,2,1372,2,1980,1980,2,14115,NWAmes,TA,TA,Y,2844,30,30,0,10304,19908,1,0.104286,187500
321,9,2596,3,1249,3,2006,2006,0,16259,NridgHt,TA,Gd,Y,3845,4,4,0,23364,34605,0,0.159665,342643
322,8,2468,3,1136,2,2004,2004,1,12099,NridgHt,Gd,Gd,Y,3604,6,6,0,19744,28832,1,0.203984,354000
323,7,2730,2,1502,2,1986,1987,1,10380,SawyerW,Gd,Gd,Y,4232,24,23,1,19110,29624,1,0.263006,301000
324,3,1163,1,1162,1,1955,2005,0,5820,OldTown,TA,TA,Y,2325,55,5,1,3489,6975,0,0.199828,126175
325,7,2978,2,710,2,1967,2007,1,11275,NAmes,Gd,Gd,Y,3688,43,3,1,20846,25816,1,0.264124,242000
326,5,803,2,720,1,1941,1950,0,5000,IDOTRR,TA,TA,N,1523,69,60,1,4015,7615,0,0.1606,87000
327,8,1719,2,1719,1,1993,1993,2,10846,Veenker,Gd,Gd,Y,3438,17,17,0,13752,27504,1,0.158492,324000
328,6,1383,1,1383,1,1960,1960,0,11600,NAmes,TA,TA,Y,2766,50,50,0,8298,16596,0,0.119224,145250
329,6,2134,2,844,2,1916,1994,0,11888,BrkSide,TA,Gd,N,2978,94,16,1,12804,17868,0,0.179509,214500
330,5,1192,1,596,1,1920,1950,0,6402,IDOTRR,TA,TA,N,1788,90,60,1,5960,8940,0,0.186192,78000
331,5,1728,1,1728,2,1964,1964,0,10624,NAmes,TA,TA,Y,3456,46,46,0,8640,17280,0,0.162651,119000
332,5,1056,1,1056,1,1958,1992,0,8176,NAmes,TA,TA,Y,2112,52,18,1,5280,10560,0,0.129159,139000
333,8,1629,3,3206,2,2003,2004,1,10655,NridgHt,Gd,Gd,Y,4835,7,6,1,13032,38680,1,0.152886,284000
334,7,1358,2,1358,2,2004,2004,1,8198,NridgHt,Gd,Gd,Y,2716,6,6,0,9506,19012,1,0.16565,207000
335,6,1638,2,943,2,1998,1998,2,9042,Gilbert,TA,TA,Y,2581,12,12,0,9828,15486,1,0.181155,192000
336,5,1786,2,1499,2,1965,1965,2,164660,Timber,TA,TA,Y,3285,45,45,0,8930,16425,1,0.010847,228950
337,9,1922,3,1922,2,2005,2006,1,14157,StoneBr,Gd,Gd,Y,3844,5,4,1,17298,34596,1,0.135763,377426
338,7,1536,2,1536,2,2002,2003,0,9135,CollgCr,Gd,Gd,Y,3072,8,7,1,10752,21504,0,0.168144,214000
339,7,1621,2,1208,2,1984,1998,0,14145,NWAmes,Gd,Gd,Y,2829,26,12,1,11347,19803,0,0.114599,202500
340,6,1215,1,1215,1,1958,1998,0,12400,NAmes,TA,TA,Y,2430,52,12,1,7290,14580,0,0.097984,155000
341,8,1908,2,967,2,2002,2002,0,14191,Timber,Gd,Gd,Y,2875,8,8,0,15264,23000,0,0.134451,202900
342,4,841,1,721,1,1950,1950,0,8400,SawyerW,Fa,TA,Y,1562,60,60,0,3364,6248,0,0.100119,82000
343,3,1040,2,0,2,1949,1950,0,8544,NAmes,TA,TA,N,1040,61,60,1,3120,3120,0,0.121723,87500
344,9,1684,2,1684,2,2005,2005,1,8849,NridgHt,Ex,Ex,Y,3368,5,5,0,15156,30312,1,0.190304,266000
345,5,1112,1,536,1,1976,1976,0,2592,MeadowV,TA,TA,Y,1648,34,34,0,5560,8240,0,0.429012,85000
346,6,1577,1,972,1,1939,1950,1,6435,BrkSide,TA,Fa,Y,2549,71,60,1,9462,15294,1,0.245066,140200
347,6,958,1,958,1,1960,1998,0,12772,NAmes,TA,TA,Y,1916,50,12,1,5748,11496,0,0.075008,151500
348,6,1478,2,1478,2,1960,1960,2,17600,NAmes,TA,TA,Y,2956,50,50,0,8868,17736,1,0.083977,157500
349,7,1626,2,764,2,2003,2004,0,2448,NridgHt,Gd,Gd,Y,2390,7,6,1,11382,16730,0,0.664216,154000
350,9,2728,3,1848,2,2005,2006,2,20431,NridgHt,Ex,Ex,Y,4576,5,4,1,24552,41184,1,0.133523,437154
351,9,1869,2,1869,2,2007,2007,1,7820,NridgHt,Ex,Ex,Y,3738,3,3,0,16821,33642,1,0.239003,318061
352,7,1453,2,1453,1,1986,1986,1,5271,ClearCr,TA,Gd,Y,2906,24,24,0,10171,20342,1,0.275659,190000
353,5,1111,1,616,1,1941,1950,0,9084,Edwards,TA,TA,N,1727,69,60,1,5555,8635,0,0.122303,95000
354,6,720,2,624,1,1928,2003,0,8520,OldTown,TA,TA,Y,1344,82,7,1,4320,8064,0,0.084507,105900
355,6,1595,1,940,1,1940,2000,2,8400,SWISU,TA,TA,Y,2535,70,10,1,9570,15210,1,0.189881,140000
356,6,1200,2,1200,2,1995,1995,0,11249,CollgCr,Gd,Gd,Y,2400,15,15,0,7200,14400,0,0.106676,177500
357,6,1167,2,1158,2,1992,1992,0,9248,Gilbert,TA,Gd,Y,2325,18,18,0,7002,13950,0,0.126189,173000
358,5,1142,2,1142,1,1976,1976,1,4224,MeadowV,TA,TA,Y,2284,34,34,0,5710,11420,1,0.27036,134000
359,5,1352,1,1062,1,1958,1958,0,6930,ClearCr,TA,Gd,Y,2414,52,52,0,6760,12070,0,0.195094,130000
360,8,1924,2,1086,2,1998,1998,1,12011,NoRidge,Gd,Gd,Y,3010,12,12,0,15392,24080,1,0.160186,280000
361,6,912,2,888,1,1978,1978,1,7540,Mitchel,TA,TA,Y,1800,32,32,0,5472,10800,1,0.120955,156000
362,5,1505,1,883,1,1940,1982,0,9144,BrkSide,TA,TA,Y,2388,70,28,1,7525,11940,0,0.164589,145000
363,7,1922,2,0,3,2003,2003,1,7301,Edwards,Gd,Gd,Y,1922,7,7,0,13454,13454,1,0.263252,198500
364,6,987,1,483,1,1972,2007,0,1680,BrDale,TA,Gd,Y,1470,38,3,1,5922,8820,0,0.5875,118000
365,6,1574,2,796,2,1976,1976,1,18800,NWAmes,TA,TA,Y,2370,34,34,0,9444,14220,1,0.083723,190000
366,5,1344,1,672,1,1920,1997,0,10690,IDOTRR,TA,TA,Y,2016,90,13,1,6720,10080,0,0.125725,147000
367,6,1394,2,1394,1,1963,1963,2,9500,NAmes,TA,TA,Y,2788,47,47,0,8364,16728,1,0.146737,159000
368,6,1431,1,1099,1,1962,1962,1,9150,NAmes,TA,TA,Y,2530,48,48,0,8586,15180,1,0.156393,165000
369,5,1268,1,1268,1,1954,1954,1,7800,NAmes,TA,TA,Y,2536,56,56,0,6340,12680,1,0.162564,132000
370,5,1287,2,1063,1,1959,2006,1,9830,NAmes,TA,Gd,Y,2350,51,4,1,6435,11750,1,0.130926,162000
371,6,1664,2,953,2,2000,2000,1,8121,Gilbert,TA,TA,Y,2617,10,10,0,9984,15702,1,0.204901,172400
372,4,1588,2,0,2,1959,1959,1,17120,ClearCr,TA,TA,Y,1588,51,51,0,6352,6352,1,0.092757,134432
373,6,752,1,744,1,1984,1984,0,7175,SawyerW,TA,TA,Y,1496,26,26,0,4512,8976,0,0.104808,125000
374,5,1319,1,608,1,1953,1953,0,10634,NAmes,TA,TA,Y,1927,57,57,0,6595,9635,0,0.124036,123000
375,7,1928,2,847,2,2003,2004,1,8200,CollgCr,Gd,Gd,Y,2775,7,6,1,13496,19425,1,0.235122,219500
376,1,904,0,683,0,1922,1950,0,10020,Edwards,Fa,Fa,N,1587,88,60,1,904,1587,0,0.09022,61000
377,5,914,2,870,1,1996,1996,0,8846,CollgCr,Gd,TA,Y,1784,14,14,0,4570,8920,0,0.103324,148000
378,8,2466,2,1580,3,2004,2005,1,11143,Somerst,Gd,Gd,Y,4046,6,5,1,19728,32368,1,0.221305,340000
379,9,1856,3,1856,1,2010,2010,1,11394,StoneBr,Gd,Ex,Y,3712,0,0,0,16704,33408,1,0.162893,394432
380,6,1800,2,982,2,2000,2000,1,8123,Gilbert,TA,TA,Y,2782,10,10,0,10800,16692,1,0.221593,179000
381,5,1691,1,1026,2,1924,1950,1,5000,SWISU,TA,Gd,Y,2717,86,60,1,8455,13585,1,0.3382,127000
382,7,1301,2,1293,2,2006,2006,1,7200,Somerst,Gd,Gd,Y,2594,4,4,0,9107,18158,1,0.180694,187750
383,7,1797,2,939,2,2006,2006,0,9245,CollgCr,Gd,Gd,Y,2736,4,4,0,12579,19152,0,0.194375,213500
384,6,784,2,784,1,1928,1950,0,9000,SawyerW,TA,TA,N,1568,82,60,1,4704,9408,0,0.087111,76000
385,6,1953,2,1580,2,1992,1992,2,53107,ClearCr,Gd,Gd,Y,3533,18,18,0,11718,21198,1,0.036775,240000
386,8,1269,2,1256,2,2004,2005,1,3182,Blmngtn,Gd,Gd,Y,2525,6,5,1,10152,20200,1,0.398806,192000
387,5,1184,0,658,1,1910,1996,0,8410,Edwards,TA,TA,Y,1842,100,14,1,5920,9210,0,0.140785,81000
388,6,1125,1,1041,1,1976,1976,1,7200,Edwards,TA,TA,Y,2166,34,34,0,6750,12996,1,0.15625,125000
389,7,1479,2,1468,2,1999,2000,0,9382,CollgCr,Gd,Gd,Y,2947,11,10,1,10353,20629,0,0.157642,191000
390,10,2332,3,1682,2,2007,2008,1,12474,NridgHt,Ex,Ex,Y,4014,3,2,1,23320,40140,1,0.186949,426000
391,5,1367,1,861,1,1900,1950,0,8405,Edwards,TA,TA,Y,2228,110,60,1,6835,11140,0,0.162641,119000
392,6,1961,2,804,2,2001,2002,1,12209,Mitchel,TA,Gd,Y,2765,9,8,1,11766,16590,1,0.160619,215000
393,5,882,1,0,1,1959,1959,0,8339,NAmes,TA,TA,Y,882,51,51,0,4410,4410,0,0.105768,106500
394,4,788,0,788,1,1941,1950,2,7446,BrkSide,TA,TA,Y,1576,69,60,1,3152,6304,1,0.105829,100000
395,5,1034,1,735,1,1940,1950,0,10134,OldTown,TA,TA,Y,1769,70,60,1,5170,8845,0,0.102033,109000
396,5,1144,1,1144,1,1956,1956,0,9571,Edwards,TA,TA,Y,2288,54,54,0,5720,11440,0,0.119528,129000
397,5,894,2,894,1,1972,1972,0,7200,CollgCr,TA,TA,Y,1788,38,38,0,4470,8940,0,0.124167,123000
398,5,1812,1,864,2,1962,1962,1,7590,NAmes,TA,TA,Y,2676,48,48,0,9060,13380,1,0.238735,169500
399,5,1077,1,961,1,1920,1950,0,8967,IDOTRR,TA,TA,Y,2038,90,60,1,5385,10190,0,0.120107,67000
400,7,1550,2,1092,2,2006,2007,0,8125,Somerst,Gd,Gd,Y,2642,4,3,1,10850,18494,0,0.190769,241000
401,8,1288,2,1260,1,1996,1996,2,14963,Veenker,Gd,Ex,Y,2548,14,14,0,10304,20384,1,0.086079,245500
402,7,1310,2,1310,2,2005,2005,1,8767,CollgCr,Gd,Gd,Y,2620,5,5,0,9170,18340,1,0.149424,164990
403,5,672,1,672,1,1940,1997,0,10200,Sawyer,TA,TA,Y,1344,70,13,1,3360,6720,0,0.065882,108000
404,8,2263,2,1141,2,1998,1998,1,12090,NoRidge,Gd,Gd,Y,3404,12,12,0,18104,27232,1,0.187179,258000
405,6,1572,2,806,2,1995,1996,1,10364,Gilbert,TA,TA,Y,2378,15,14,1,9432,14268,1,0.151679,168000
406,4,1620,2,1281,2,1976,1993,1,9991,Sawyer,TA,TA,Y,2901,34,17,1,6480,11604,1,0.162146,150000
407,6,1639,1,1064,1,1936,1950,0,10480,SWISU,TA,TA,Y,2703,74,60,1,9834,16218,0,0.156393,115000
408,6,1680,1,840,2,1915,1976,0,15576,Crawfor,TA,TA,Y,2520,95,34,1,10080,15120,0,0.107858,177000
409,7,2172,3,1063,2,2006,2006,1,14154,NridgHt,Gd,Gd,Y,3235,4,4,0,15204,22645,1,0.153455,280000
410,8,2078,3,1034,2,2007,2008,1,10800,Somerst,Gd,Ex,Y,3112,3,2,1,16624,24896,1,0.192407,339750
411,5,1276,1,1276,1,1958,1958,0,9571,Edwards,TA,TA,Y,2552,52,52,0,6380,12760,0,0.133319,60000
412,5,1056,2,1056,1,1955,1955,0,34650,Gilbert,TA,TA,N,2112,55,55,0,5280,10560,0,0.030476,145000
413,7,1478,2,1470,2,2009,2009,1,4403,Somerst,Ex,Gd,Y,2948,1,1,0,10346,20636,1,0.33568,222000
414,5,1028,2,1008,1,1927,1950,1,8960,OldTown,TA,TA,Y,2036,83,60,1,5140,10180,1,0.114732,115000
415,7,2097,3,1080,2,1993,1993,1,11228,SawyerW,Gd,Gd,Y,3177,17,17,0,14679,22239,1,0.186765,228000
416,7,1340,2,1340,2,2007,2007,0,8899,Gilbert,Gd,Gd,Y,2680,3,3,0,9380,18760,0,0.150579,181134
417,6,1400,2,672,1,1978,1978,1,7844,Sawyer,TA,TA,Y,2072,32,32,0,8400,12432,1,0.17848,149500
418,6,2624,3,1370,2,1918,1950,1,22420,Crawfor,TA,TA,N,3994,92,60,1,15744,23964,1,0.117038,239000
419,5,1134,1,756,1,1940,1950,0,8160,Edwards,TA,TA,N,1890,70,60,1,5670,9450,0,0.138971,126000
420,5,1056,1,1056,1,1968,1968,1,8450,NAmes,TA,TA,Y,2112,42,42,0,5280,10560,1,0.12497,142000
421,7,1344,4,1344,2,1997,1998,0,7060,Mitchel,TA,TA,Y,2688,13,12,1,9408,18816,0,0.190368,206300
422,6,1602,2,1602,2,1977,2000,1,16635,NWAmes,Gd,Gd,Y,3204,33,10,1,9612,19224,1,0.096303,215000
423,5,988,2,988,1,1954,1954,0,21750,Mitchel,TA,TA,Y,1976,56,56,0,4940,9880,0,0.045425,113000
